Date,Price,Open,High,Low,Vol.,Change %
1-Jan-20,41.82,41.2,42.59,40.9,255.74K,0.0152
2-Jan-20,39.98,41.82,41.88,39.93,303.18K,-0.0440
3-Jan-20,43.89,40,43.99,39.94,382.02K,0.0976
4-Jan-20,46.19,43.85,46.98,43.03,1.14M,0.0525
5-Jan-20,51.19,46.19,53.26,46.18,1.14M,0.1083
6-Jan-20,56.6,51.18,57.39,50.86,1.18M,0.1056
7-Jan-20,54.68,56.6,57.51,53.53,793.52K,-0.0340
8-Jan-20,52.42,54.67,56.97,51.33,547.62K,-0.0412
9-Jan-20,50.55,52.42,53.19,49.98,459.64K,-0.0358
10-Jan-20,56.82,50.55,56.84,49.8,745.43K,0.1241
11-Jan-20,63.56,56.82,67.54,55.8,1.39M,0.1187
12-Jan-20,66.21,63.54,67.85,62.2,984.96K,0.0417
13-Jan-20,69.44,66.21,71.15,63.76,785.67K,0.0487
14-Jan-20,89.43,69.44,89.66,69.44,2.15M,0.2879
15-Jan-20,132.92,89.47,132.92,88.73,4.06M,0.4863
16-Jan-20,127.63,133.04,134.34,113.1,2.57M,-0.0399
17-Jan-20,113.48,127.64,127.84,110.07,2.24M,-0.1108
18-Jan-20,101.23,113.48,116.17,95.09,2.00M,-0.1080
19-Jan-20,104.95,101.23,109.12,92.22,1.59M,0.0368
20-Jan-20,109.42,104.96,115.47,100.06,1.47M,0.0426
21-Jan-20,110.61,109.58,114.28,105.88,942.67K,0.0109
22-Jan-20,107.75,110.61,112.92,106.93,667.86K,-0.0259
23-Jan-20,102.67,107.75,108.06,98.42,798.26K,-0.0471
24-Jan-20,100.28,102.66,103.83,93.65,783.37K,-0.0233
25-Jan-20,101.69,100.27,103.91,97.52,475.22K,0.0140
26-Jan-20,111.03,101.6,112.58,100.25,1.17M,0.0919
27-Jan-20,112.86,111.04,119.5,109.8,1.42M,0.0164
28-Jan-20,115.65,112.85,117.64,111.26,1.17M,0.0248
29-Jan-20,121.71,115.73,128.37,115.04,1.59M,0.0524
30-Jan-20,122.03,121.72,126.81,117.95,1.23M,0.0026
31-Jan-20,115.73,122.05,124.43,113.08,1.01M,-0.0517
1-Feb-20,116.66,115.75,119.74,114.69,594.37K,0.0080
2-Feb-20,114.32,116.65,117.31,112.95,561.85K,-0.0201
3-Feb-20,115.3,114.32,117.28,111.02,564.25K,0.0086
4-Feb-20,110.85,115.3,115.67,110.85,558.96K,-0.0386
5-Feb-20,122.91,110.82,124.49,109.87,972.82K,0.1088
6-Feb-20,120.3,122.91,124.6,117.78,1.01M,-0.0213
7-Feb-20,118.68,120.3,122.88,117.74,655.96K,-0.0135
8-Feb-20,126.33,118.68,131.52,113.1,1.33M,0.0645
9-Feb-20,128.46,126.33,130.36,123.85,791.89K,0.0168
10-Feb-20,127.68,128.45,128.64,120.32,750.47K,-0.0060
11-Feb-20,129.2,127.68,133.27,123.89,667.41K,0.0119
12-Feb-20,133.55,129.2,136.87,129.16,745.06K,0.0337
13-Feb-20,131.27,133.61,137.85,128.09,822.76K,-0.0171
14-Feb-20,133.19,131.27,134.33,128.25,488.56K,0.0146
15-Feb-20,120.72,133.19,133.28,116.27,635.31K,-0.0937
16-Feb-20,111.17,120.72,123.43,101.19,899.95K,-0.0791
17-Feb-20,114.67,111.17,116.25,101.98,876.94K,0.0314
18-Feb-20,115.49,114.67,117.43,107.25,602.32K,0.0071
19-Feb-20,105.1,115.49,115.68,104.75,573.04K,-0.0899
20-Feb-20,105.09,105.11,106.98,99.32,597.88K,-0.0001
21-Feb-20,107.47,105.09,109.91,103.2,556.59K,0.0227
22-Feb-20,103.86,107.46,109.33,102.89,599.44K,-0.0336
23-Feb-20,108.36,103.86,109.1,103.47,448.69K,0.0434
24-Feb-20,103.5,108.31,108.9,99.94,435.11K,-0.0449
25-Feb-20,95.6,103.49,103.57,94.63,547.16K,-0.0763
26-Feb-20,84.47,95.62,96.75,79.88,802.70K,-0.1164
27-Feb-20,89.63,84.47,94.07,79.87,852.90K,0.0611
28-Feb-20,88.15,89.63,92.61,83.24,902.63K,-0.0165
29-Feb-20,85.31,88.15,90.4,85.17,463.61K,-0.0323
1-Mar-20,84.78,85.31,89.85,83.36,504.74K,-0.0062
2-Mar-20,90.22,84.78,92,84.27,596.75K,0.0642
3-Mar-20,88.55,90.23,90.48,87.15,467.70K,-0.0185
4-Mar-20,86.98,88.55,90.02,85.62,380.35K,-0.0177
5-Mar-20,89.9,87.02,92.51,86.94,435.96K,0.0335
6-Mar-20,93.92,89.89,94.17,89.1,505.12K,0.0447
7-Mar-20,88.15,93.92,94.09,87.44,7.29M,-0.0614
8-Mar-20,73.64,88.15,88.23,73.11,766.77K,-0.1646
9-Mar-20,73.71,73.64,75.33,68.04,993.74K,0.0009
10-Mar-20,74.7,73.69,76.3,71.74,639.62K,0.0135
11-Mar-20,72.29,74.7,75.27,67.31,583.09K,-0.0323
12-Mar-20,43.56,72.29,72.58,41.64,1.44M,-0.3974
13-Mar-20,51.05,43.56,53.27,32.27,1.48M,0.1720
14-Mar-20,46,51.05,51.09,45.3,651.07K,-0.0989
15-Mar-20,47.3,45.99,50.25,45.61,501.60K,0.0283
16-Mar-20,43.04,47.3,47.59,38.73,883.58K,-0.0900
17-Mar-20,45.73,43.04,46.68,42.43,735.50K,0.0624
18-Mar-20,62.76,45.69,62.78,45.21,1.76M,0.3725
19-Mar-20,65.56,62.74,69.34,51.58,1.99M,0.0446
20-Mar-20,71.65,65.56,77.5,62.99,2.01M,0.0928
21-Mar-20,71.38,71.66,75.21,67.75,1.86M,-0.0037
22-Mar-20,62.45,71.39,80.36,61.82,1.30M,-0.1252
23-Mar-20,70.44,62.45,70.78,61.52,1.14M,0.1280
24-Mar-20,69.88,70.43,76.7,62.68,937.36K,-0.0079
25-Mar-20,67.81,69.88,70.2,66.47,768.02K,-0.0297
26-Mar-20,68.28,67.81,68.62,66.56,614.81K,0.0069
27-Mar-20,67.7,68.27,72.88,66.95,829.61K,-0.0084
28-Mar-20,65.3,67.72,67.72,62.27,1.10M,-0.0355
29-Mar-20,60.51,65.3,65.76,60.47,582.23K,-0.0733
30-Mar-20,65.85,60.51,67.36,60.5,640.56K,0.0883
31-Mar-20,64.98,65.85,66.38,64.16,764.88K,-0.0133
1-Apr-20,65.95,64.98,66.56,62.43,824.92K,0.0149
2-Apr-20,67.59,65.95,71.62,65.13,980.57K,0.0249
3-Apr-20,67.46,67.59,70.29,66.3,919.28K,-0.0020
4-Apr-20,68.48,67.46,69.32,66.79,924.55K,0.0153
5-Apr-20,66.85,68.49,68.78,65.89,711.19K,-0.0239
6-Apr-20,73.17,66.89,73.25,66.85,1.12M,0.0946
7-Apr-20,72.5,73.15,75.85,70.35,1.25M,-0.0092
8-Apr-20,75.56,72.5,81.31,71.16,1.10M,0.0423
9-Apr-20,83.39,75.56,87.38,74.14,1.50M,0.1036
10-Apr-20,74.24,83.39,83.43,70.13,1.74M,-0.1098
11-Apr-20,75.02,74.24,77.6,73.07,1.30M,0.0105
12-Apr-20,74.21,75.02,78.32,72.99,1.09M,-0.0108
13-Apr-20,73.18,74.21,74.23,70.59,1.28M,-0.0138
14-Apr-20,72.26,73.18,74.54,72.04,938.37K,-0.0127
15-Apr-20,70.71,72.26,73.71,70.13,868.93K,-0.0215
16-Apr-20,75.94,70.75,77.22,67.54,1.28M,0.0741
17-Apr-20,76.4,75.95,77.8,74.63,922.12K,0.0060
18-Apr-20,80.21,76.44,80.44,76.32,1.13M,0.0499
19-Apr-20,80.23,80.25,83.42,77.59,1.40M,0.0003
20-Apr-20,74.31,80.23,82.8,73.05,1.58M,-0.0739
21-Apr-20,74.45,74.3,75.92,73.1,1.04M,0.0020
22-Apr-20,80.8,74.45,82.06,74.1,1.35M,0.0853
23-Apr-20,81.3,80.84,84.17,79.15,1.45M,0.0062
24-Apr-20,81.38,81.26,82.89,80.56,889.27K,0.0009
25-Apr-20,85.78,81.38,87.75,80.49,1.02M,0.0541
26-Apr-20,84.06,85.77,87.4,82.93,1.16M,-0.0200
27-Apr-20,82.7,84.08,84.9,80.21,1.13M,-0.0162
28-Apr-20,82.31,82.7,83.05,79.79,842.85K,-0.0047
29-Apr-20,85.48,82.31,86.05,82.04,1.18M,0.0385
30-Apr-20,80.81,85.44,88.71,80.42,1.39M,-0.0546
1-May-20,82.98,80.74,83.97,80.72,855.39K,0.0269
2-May-20,83.3,82.93,83.74,81.56,676.07K,0.0039
3-May-20,81.23,83.3,83.92,79.92,843.31K,-0.0249
4-May-20,79.55,81.29,81.7,75.43,885.52K,-0.0206
5-May-20,79.47,79.55,81.17,77.85,666.04K,-0.0011
6-May-20,77.14,79.46,81.02,76.91,705.33K,-0.0292
7-May-20,78.83,77.14,79.88,76.48,865.43K,0.0219
8-May-20,81.9,78.83,84.02,77.18,845.58K,0.0389
9-May-20,79.58,81.88,82.48,79.05,825.40K,-0.0283
10-May-20,72.22,79.67,79.67,68.76,1.27M,-0.0925
11-May-20,69.87,72.21,74.08,66.53,991.85K,-0.0325
12-May-20,73.35,69.71,74.84,69.41,785.26K,0.0499
13-May-20,73.78,73.31,74.92,72.24,643.76K,0.0058
14-May-20,74.57,73.83,75.84,73.31,686.41K,0.0107
15-May-20,72.41,74.57,74.99,56.57,608.26K,-0.0289
16-May-20,73.62,72.38,74.44,72.07,560.21K,0.0166
17-May-20,75.1,73.62,76.98,73.47,669.93K,0.0201
18-May-20,76.21,75.1,78.38,69,715.22K,0.0148
19-May-20,77.15,76.21,77.28,72.45,568.68K,0.0124
20-May-20,78.31,77.15,79.11,74.77,641.29K,0.0150
21-May-20,74.72,78.31,78.6,70.33,695.31K,-0.0459
22-May-20,74.71,74.72,76.13,71.36,581.09K,-0.0001
23-May-20,73.89,74.71,75.8,73.38,502.92K,-0.0110
24-May-20,71.79,73.89,75.51,71.79,536.17K,-0.0284
25-May-20,73.59,71.79,73.73,71.35,475.00K,0.0250
26-May-20,72.65,73.59,73.87,71.28,457.15K,-0.0127
27-May-20,73.6,72.65,75.49,72.36,510.79K,0.0130
28-May-20,76.95,73.6,77.01,71.86,508.81K,0.0455
29-May-20,74.19,74.61,77.2,73.31,552.61K,-0.0358
30-May-20,79.04,74.19,79.65,73.61,758.51K,0.0653
31-May-20,76.43,79.04,80.65,75.74,698.58K,-0.0330
1-Jun-20,80.06,76.43,80.2,75.81,741.34K,0.0475
2-Jun-20,78.23,80.06,82.25,76.35,804.18K,-0.0229
3-Jun-20,78.22,78.3,78.66,76.71,581.05K,-0.0002
4-Jun-20,78.58,78.22,79.16,76.73,575.77K,0.0047
5-Jun-20,77.9,78.58,79.82,77.74,581.98K,-0.0087
6-Jun-20,78.26,77.85,79.21,77.08,439.04K,0.0046
7-Jun-20,77.96,78.26,78.81,75.95,485.69K,-0.0039
8-Jun-20,77.72,77.96,78.39,77,362.57K,-0.0031
9-Jun-20,77.46,77.82,78.01,76.82,382.14K,-0.0033
10-Jun-20,78.23,77.46,78.39,77,403.97K,0.0099
11-Jun-20,72.35,78.23,79.28,71.91,613.95K,-0.0751
12-Jun-20,73.29,72.36,74.89,71.26,477.34K,0.0129
13-Jun-20,74.14,73.29,74.28,72.58,370.30K,0.0116
14-Jun-20,72.52,74.14,74.26,71.95,326.24K,-0.0218
15-Jun-20,71.79,72.52,72.65,68.53,511.08K,-0.0101
16-Jun-20,72.63,71.86,73.06,71.42,388.61K,0.0117
17-Jun-20,72.4,72.63,73.52,71.03,405.66K,-0.0032
18-Jun-20,71.43,72.4,72.67,70.7,362.85K,-0.0133
19-Jun-20,70.11,71.43,71.52,69.86,394.22K,-0.0185
20-Jun-20,71.07,70.11,71.18,69.22,362.10K,0.0136
21-Jun-20,70.08,71.07,71.38,69.95,304.85K,-0.0140
22-Jun-20,72.36,70.08,72.68,70.04,382.20K,0.0326
23-Jun-20,74.03,72.36,76.21,71.5,427.97K,0.0230
24-Jun-20,72.37,74.03,75.27,70.91,355.77K,-0.0223
25-Jun-20,71.15,72.37,72.41,70.23,234.84K,-0.0169
26-Jun-20,70.68,71.12,71.53,67.41,193.92K,-0.0066
27-Jun-20,66.98,70.68,71.17,65.32,214.74K,-0.0525
28-Jun-20,67.74,66.98,68.62,66.07,183.46K,0.0114
29-Jun-20,68.91,67.74,69.27,66.82,232.07K,0.0173
30-Jun-20,68.19,68.92,69.18,67.57,183.29K,-0.0105
1-Jul-20,68.28,68.19,69.11,67.36,181.35K,0.0014
2-Jul-20,66.64,68.28,68.69,65.55,196.98K,-0.0240
3-Jul-20,66.46,66.65,67.09,65.92,184.06K,-0.0028
4-Jul-20,67.61,66.46,68.17,66.26,177.55K,0.0174
5-Jul-20,67.39,67.62,67.73,65.82,178.47K,-0.0033
6-Jul-20,70.27,67.37,70.62,67.05,324.28K,0.0427
7-Jul-20,69.93,70.27,70.91,69.18,270.75K,-0.0048
8-Jul-20,72.69,69.92,73.22,69.47,311.04K,0.0395
9-Jul-20,71.86,72.67,73.82,70.64,331.55K,-0.0114
10-Jul-20,71.63,71.86,71.88,70.28,323.43K,-0.0032
11-Jul-20,72.66,71.63,72.97,71.32,273.78K,0.0143
12-Jul-20,72.03,72.66,73.07,70.9,425.57K,-0.0087
13-Jul-20,71.85,72.05,75.67,71.22,430.31K,-0.0025
14-Jul-20,71.89,71.85,72.54,70.19,334.28K,0.0007
15-Jul-20,71.11,71.9,79.67,70.7,241.60K,-0.0109
16-Jul-20,69.3,71.11,71.38,68.13,219.73K,-0.0255
17-Jul-20,69.56,69.3,70.1,68.8,148.60K,0.0038
18-Jul-20,69.17,69.56,69.69,68.72,115.50K,-0.0056
19-Jul-20,70.34,69.17,70.38,68.77,129.28K,0.0169
20-Jul-20,68.9,70.34,70.4,68.72,119.98K,-0.0205
21-Jul-20,71.08,68.9,71.22,68.73,149.62K,0.0317
22-Jul-20,73.4,71.08,73.4,71.08,209.12K,0.0326
23-Jul-20,73.35,73.4,73.97,72.51,227.90K,-0.0006
24-Jul-20,71.95,73.35,73.4,71.32,250.98K,-0.0192
25-Jul-20,74.66,71.95,74.97,71.95,279.27K,0.0377
26-Jul-20,75.24,74.65,77.39,74.26,355.86K,0.0078
27-Jul-20,77.56,75.25,79.2,73.49,517.36K,0.0309
28-Jul-20,79.87,77.56,80.85,76.07,469.57K,0.0297
29-Jul-20,81.43,81.26,81.53,81.23,504.42K,0.0196
30-Jul-20,81.17,81.43,82.38,79.41,301.50K,-0.0033
31-Jul-20,82.44,81.17,83.52,79.97,334.34K,0.0156
1-Aug-20,93.05,82.44,94.05,81.87,649.05K,0.1288
2-Aug-20,85.28,93.04,95.46,81.78,683.62K,-0.0835
3-Aug-20,87.75,85.28,89.68,83.89,467.33K,0.0290
4-Aug-20,86.86,87.73,89.15,85.11,345.48K,-0.0102
5-Aug-20,92.21,86.81,93.37,85.94,465.50K,0.0617
6-Aug-20,100.41,92.21,104.72,90.3,828.08K,0.0889
7-Aug-20,96.49,100.41,103.8,93.1,701.95K,-0.0390
8-Aug-20,98.35,96.49,102.26,94.66,454.74K,0.0193
9-Aug-20,97.67,98.31,98.9,94.76,369.59K,-0.0069
10-Aug-20,95.45,97.67,98.37,93.62,358.97K,-0.0227
11-Aug-20,88.48,95.45,96.58,85.97,435.66K,-0.0731
12-Aug-20,91.66,88.48,92.01,84.62,424.49K,0.0360
13-Aug-20,92.77,91.66,93.17,86.25,318.77K,0.0121
14-Aug-20,91.95,92.77,92.88,90.03,295.88K,-0.0088
15-Aug-20,93.87,91.94,95.76,91.41,345.00K,0.0209
16-Aug-20,94.92,93.87,95.27,91.55,234.99K,0.0111
17-Aug-20,97.61,94.92,100.06,92.93,359.64K,0.0284
18-Aug-20,92.73,97.61,98.72,92.09,268.44K,-0.0501
19-Aug-20,87.73,92.73,93.77,86.96,287.51K,-0.0539
20-Aug-20,91.48,87.73,91.62,87.17,204.74K,0.0428
21-Aug-20,86.7,91.48,95.58,86.64,381.21K,-0.0523
22-Aug-20,90.83,86.7,90.94,85.2,255.76K,0.0477
23-Aug-20,91.43,90.83,92.89,87.79,204.72K,0.0066
24-Aug-20,91.78,91.43,93.26,89.43,190.93K,0.0038
25-Aug-20,84.55,91.78,91.83,82.68,582.97K,-0.0788
26-Aug-20,85.79,84.55,87.37,83.58,711.77K,0.0147
27-Aug-20,83.36,85.8,86.49,81.81,761.63K,-0.0283
28-Aug-20,84.95,83.39,85.88,82.41,520.76K,0.0190
29-Aug-20,85.01,84.96,86.59,84.39,426.47K,0.0008
30-Aug-20,88.27,85.01,88.85,84.96,560.17K,0.0383
31-Aug-20,86.15,88.3,88.91,85.79,466.09K,-0.0239
1-Sep-20,89.15,86.16,90.62,85.14,800.38K,0.0348
2-Sep-20,83.25,89.16,89.65,80.06,641.93K,-0.0662
3-Sep-20,66.66,83.25,83.53,62.51,673.84K,-0.1993
4-Sep-20,72.58,66.62,73.72,65.99,786.20K,0.0889
5-Sep-20,67.94,72.58,74.14,65.02,617.82K,-0.0639
6-Sep-20,70.13,67.94,71.66,66.09,403.46K,0.0322
7-Sep-20,76.01,70.13,77.16,65.83,517.09K,0.0838
8-Sep-20,74.72,76.02,77.71,70.19,479.59K,-0.0169
9-Sep-20,75.57,74.72,77.37,74.14,207.71K,0.0113
10-Sep-20,77,75.57,77.72,75.03,229.60K,0.0189
11-Sep-20,77.08,77,77.39,74.71,209.21K,0.0010
12-Sep-20,79.34,77.08,80.03,75.69,243.56K,0.0293
13-Sep-20,75.41,79.34,79.34,73.49,176.62K,-0.0496
14-Sep-20,75.07,75.5,76.76,73.89,140.27K,-0.0044
15-Sep-20,72.95,75.08,76.1,72.78,134.88K,-0.0283
16-Sep-20,36.02,72.95,74.25,35.61,155.06K,-0.5063
17-Sep-20,73.34,35.82,73.54,35.49,77.73K,1.0361
18-Sep-20,72.26,73.34,73.7,70.66,83.74K,-0.0146
19-Sep-20,72.81,72.26,73.45,71.36,91.12K,0.0076
20-Sep-20,70.69,72.82,72.94,69.42,98.75K,-0.0291
21-Sep-20,66.77,70.71,71.61,64.79,109.67K,-0.0555
22-Sep-20,68.1,66.77,68.91,66.5,77.23K,0.0200
23-Sep-20,64.76,68.1,68.47,64.44,105.18K,-0.0490
24-Sep-20,67.71,64.87,68.3,64.39,129.68K,0.0455
25-Sep-20,68.48,67.71,69.38,66.55,157.17K,0.0114
26-Sep-20,69.04,68.53,69.9,68.33,170.65K,0.0082
27-Sep-20,68.77,69.05,69.96,67.19,135.60K,-0.0039
28-Sep-20,67.37,68.77,69.97,67.12,162.55K,-0.0205
29-Sep-20,68.45,67.36,68.8,66.68,137.52K,0.0161
30-Sep-20,69.15,68.45,69.15,66.73,119.03K,0.0102
1-Oct-20,68.06,69.18,71.02,67.26,207.63K,-0.0159
2-Oct-20,65.96,68.04,68.79,63.98,165.26K,-0.0308
3-Oct-20,65.61,65.96,66.59,65.48,71.93K,-0.0053
4-Oct-20,66.38,65.61,66.77,64.96,83.47K,0.0118
5-Oct-20,67.06,66.39,67.13,65.59,98.94K,0.0103
6-Oct-20,65.24,67.11,68.19,64.65,160.95K,-0.0272
7-Oct-20,66,65.23,66.27,64.1,153.75K,0.0117
8-Oct-20,66.32,65.97,67.32,64.22,190.71K,0.0048
9-Oct-20,67.29,66.35,67.81,65.81,136.70K,0.0147
10-Oct-20,67.95,67.29,69.16,67.26,170.96K,0.0097
11-Oct-20,71.68,67.93,72.58,67.68,214.62K,0.0550
12-Oct-20,71.65,71.68,74.49,70.22,263.90K,-0.0004
13-Oct-20,71.24,71.69,73.43,70.47,130.85K,-0.0057
14-Oct-20,70.07,71.24,72.05,68.98,139.05K,-0.0164
15-Oct-20,69.25,70.07,70.47,68.11,120.01K,-0.0117
